lead_id,converted_to_tenant,sessions-count_not_na-lead_id,hits-sum-lead_id,hits-count_not_na-lead_id,unique_events-sum-lead_id,unique_events-mean-lead_id,page_per_session-sum-lead_id,pageviews-sum-lead_id,time_on_page-sum-lead_id,lead_dropped-sum-lead_id,lead_dropped-mean-lead_id,source-google-count-lead_id,device_category-count_tablet-lead_id,event_category-count_Inventory Residential Lead-lead_id,client_id,sessions-sum-client_id,sessions-count_not_na-client_id,sessions-max-client_id,sessions-mean-client_id,sessions-sum_per_lead-client_id,sessions-count_not_na_per_lead-client_id,unique_events-max-client_id,unique_events-mean-client_id,session_duration-max-client_id,session_duration-mean-client_id,page_per_session-max-client_id,page_per_session-mean-client_id,enquiries-sum-client_id,enquiries-max-client_id,enquiries-mean-client_id,enquiries-sum_per_lead-client_id,pageviews-sum-client_id,pageviews-max-client_id,pageviews-mean-client_id,pageviews-sum_per_lead-client_id,time_on_page-max-client_id,time_on_page-mean-client_id,avg_time_on_page-mean-client_id,property_search-sum-client_id,property_search-max-client_id,property_search-mean-client_id,property_search-sum_per_lead-client_id,lead_dropped-sum-client_id,lead_dropped-mean-client_id,bounce_rate-sum-client_id,bounce_rate-max-client_id,bounce_rate-mean-client_id,total_events-sum-client_id,timestamp-gap-client_id,social_source_referral-value-client_id,contact_us_click-value-client_id,app_downloads-value-client_id,source-mode-client_id,source-google-count-client_id,device_category-count_tablet-client_id,event_category-count_Property View-client_id,event_category-count_Property Search-client_id,event_category-count_Scroll Depth-client_id,event_category-count_Property Search Field-client_id,event_category-count_Image View-client_id,event_category-count_Property Form Field-client_id,event_category-count_App Download-client_id,event_category-count_Property Residential Lead-client_id,event_category-count_addthis-client_id,event_category-count_Contact Us-client_id,event_category-count_Promo-client_id,event_category-count_Property Commercial Lead-client_id,event_category-count_Property Freehold Lead-client_id,event_category-count_Happiness Survey Form-client_id,event_category-count_Download Form-client_id
290449,0,4,0.0,0,4,1.0,0.0,0.0,0.0,2,0.5,0,0,2,5.32394e+18,3,206,1,0.014563106796116505,0.75,51.5,4,0.8349514563106796,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,5,0.024271844660194174,0.0,0.0,0.0,0.0,0.0,False,False,False,google,2,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0
287377,1,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,7.83686e+18,2,32,1,0.0625,1.0,16.0,3,1.0625,387.0,55.285714285714285,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,26.0,3.0,2.0,13.0,95.0,65.61538461538461,39.93589743692308,0.0,0.0,0.0,0.0,2,0.0625,0.0,0.0,0.0,58.0,0.0,False,False,False,google,7,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
290554,1,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.61391e+19,1,101,1,0.009900990099009901,1.0,101.0,4,0.7227722772277227,1971.0,54.75,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,False,False,False,google,36,0,22,8,0,0,0,0,1,0,0,0,0,0,0,0,0
287153,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.56384e+19,2,19,1,0.10526315789473684,2.0,19.0,3,1.0,270.0,62.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.05263157894736842,0.0,0.0,0.0,0.0,37.0,False,False,False,google,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
289321,1,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,4.00134e+18,4,42,1,0.09523809523809523,4.0,42.0,2,0.5952380952380952,1131.0,76.18518518518519,1.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,False,False,False,search,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292974,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,7.94991e+18,2,27,1,0.07407407407407407,2.0,27.0,4,1.1111111111111112,385.0,64.16666666666667,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,21.0,5.0,1.9090909090909092,21.0,133.0,69.63636363636364,49.21818181818182,0.0,0.0,0.0,0.0,1,0.037037037037037035,0.0,0.0,0.0,44.0,0.0,False,False,False,direct,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
294408,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,2.05104e+19,27,122,1,0.22131147540983606,27.0,122.0,9,1.9262295081967213,235.0,40.97222222222222,1.0,0.19444444444444445,0.0,0.0,0.0,0.0,82.0,3.0,1.6734693877551021,82.0,111.0,42.265306122448976,29.67687074836735,5.0,1.0,0.10204081632653061,5.0,1,0.00819672131147541,600.0,100.0,16.666666666666668,245.0,12416.0,False,False,False,google,28,0,7,3,35,3,0,0,0,0,0,0,0,0,0,0,0
286143,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,7.91912e+18,2,37,1,0.05405405405405406,0.5,9.25,4,1.3243243243243243,329.0,54.833333333333336,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,28.0,4.0,2.3333333333333335,7.0,128.0,54.833333333333336,34.611111111666666,0.0,0.0,0.0,0.0,4,0.10810810810810811,0.0,0.0,0.0,74.0,0.0,False,False,False,email,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
288036,1,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.17069e+19,7,65,1,0.1076923076923077,7.0,65.0,4,0.9692307692307692,759.0,58.17391304347826,1.0,0.08695652173913043,0.0,0.0,0.0,0.0,48.0,2.0,1.263157894736842,48.0,283.0,77.02631578947368,57.60526315789474,0.0,0.0,0.0,0.0,1,0.015384615384615385,0.0,0.0,0.0,91.0,0.0,False,False,False,google,23,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0
284254,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,4.62821e+18,2,57,1,0.03508771929824561,1.0,28.5,4,1.1228070175438596,1027.0,85.58333333333333,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,37.0,5.0,1.6818181818181819,18.5,506.0,95.27272727272727,72.18181818181819,0.0,0.0,0.0,0.0,2,0.03508771929824561,0.0,0.0,0.0,78.0,0.0,False,False,False,google,12,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
